;Feature;Importance
528;ultima_review_2016-07-21;0.0
529;ultima_review_2016-07-23;0.0
530;ultima_review_2016-07-25;0.0
531;ultima_review_2016-07-28;0.0
532;ultima_review_2016-07-30;0.0
533;ultima_review_2016-07-31;0.0
534;ultima_review_2016-08-01;0.0
535;ultima_review_2016-08-03;0.0
536;ultima_review_2016-08-04;0.0
537;ultima_review_2016-08-05;0.0
538;ultima_review_2016-08-06;0.0
539;ultima_review_2016-08-07;0.0
540;ultima_review_2016-08-08;0.0
541;ultima_review_2016-08-13;0.0
542;ultima_review_2016-08-14;0.0
543;ultima_review_2016-08-15;0.0
544;ultima_review_2016-08-17;0.0
545;ultima_review_2016-08-18;0.0
546;ultima_review_2016-08-19;0.0
547;ultima_review_2016-08-20;0.0
548;ultima_review_2016-08-21;0.0
549;ultima_review_2016-08-23;0.0
550;ultima_review_2016-08-24;0.0
551;ultima_review_2016-08-26;0.0
552;ultima_review_2016-08-27;0.0
553;ultima_review_2016-08-28;0.0
554;ultima_review_2016-08-30;0.0
555;ultima_review_2016-08-31;0.0
556;ultima_review_2016-09-01;0.0
557;ultima_review_2016-09-02;0.0
558;ultima_review_2016-09-03;0.0
559;ultima_review_2016-09-05;0.0
560;ultima_review_2016-09-09;0.0
561;ultima_review_2016-09-10;0.0
562;ultima_review_2016-09-11;0.0
563;ultima_review_2016-09-13;0.0
564;ultima_review_2016-09-15;0.0
565;ultima_review_2016-09-17;0.0
566;ultima_review_2016-09-18;0.0
567;ultima_review_2016-09-19;0.0
568;ultima_review_2016-09-21;0.0
569;ultima_review_2016-09-22;0.0
570;ultima_review_2016-09-23;0.0
571;ultima_review_2016-09-25;0.0
572;ultima_review_2016-09-26;0.0
573;ultima_review_2016-09-27;0.0
574;ultima_review_2016-09-28;0.0
575;ultima_review_2016-09-29;0.0
576;ultima_review_2016-09-30;0.0
577;ultima_review_2016-10-01;0.0
578;ultima_review_2016-10-02;0.0
579;ultima_review_2016-10-03;0.0
580;ultima_review_2016-10-04;0.0
581;ultima_review_2016-10-06;0.0
582;ultima_review_2016-10-07;0.0
583;ultima_review_2016-10-08;0.0
584;ultima_review_2016-10-09;0.0
585;ultima_review_2016-10-10;0.0
586;ultima_review_2016-10-11;0.0
587;ultima_review_2016-10-12;0.0
588;ultima_review_2016-10-15;0.0
589;ultima_review_2016-10-16;0.0
590;ultima_review_2016-10-17;0.0
591;ultima_review_2016-10-18;0.0
592;ultima_review_2016-10-19;0.0
593;ultima_review_2016-10-20;0.0
594;ultima_review_2016-10-22;0.0
